no.,latitude(N),longitude(E),time_windows,weight(tons),collection_time(h)
47,55.068818,1.894141,"[8.7,12.3]",2.86,1.28
48,53.551099,6.837057,"[8.3,18.0]",3.07,1.09
49,53.399794,3.434634,"[8.1,17.9]",3.48,1.3
50,52.5,6.229412,"[8.9,15.1]",2.93,1.25
51,54.850768,2.681919,"[8.1,20.0]",2.37,1.06
52,52.5,5.662305,"[8.5,15.9]",1.83,1.01
53,53.842993,2.470362,"[8.1,14.1]",4.09,1.22
54,54.27735,-0.5,"[8.8,14.5]",3.25,1.43
55,54.391383,5.129632,"[8.9,14.5]",2.09,1.11
56,55.092772,1.162008,"[8.8,14.8]",2.86,1.21
57,54.184221,4.992494,"[9.0,18.0]",4.68,1.55
58,52.737681,0.392684,"[8.8,17.9]",1.78,0.77
59,53.126627,-0.107499,"[8.4,18.6]",3.81,1.57
60,52.567856,2.299944,"[8.1,12.6]",1.44,0.74
61,53.563578,1.79478,"[8.5,16.8]",2.99,0.98
62,54.005031,0.942681,"[8.6,14.4]",3.45,1.18
63,54.586236,3.154353,"[8.1,19.3]",3.35,0.91
64,53.691502,2.144605,"[9.0,19.3]",2.01,0.76
65,53.97872,2.234516,"[8.8,18.6]",1.55,0.87
66,54.172536,8.0,"[8.4,18.1]",3.39,1.19
67,53.52956,5.862604,"[8.9,14.6]",1.38,0.82
68,54.673879,5.054733,"[8.1,16.0]",4.85,1.71
69,53.599413,4.861395,"[8.5,13.4]",4.34,1.57
70,54.178669,3.695235,"[8.5,16.3]",1.83,0.69
71,54.940011,5.884279,"[8.8,20.5]",0.6,0.61
72,54.819456,2.558673,"[8.7,18.1]",2.87,1.27
73,52.592816,6.226008,"[8.9,18.4]",1.19,0.77
74,55.149021,-0.5,"[8.1,19.8]",3.3,1.4
75,53.77212,6.80027,"[8.5,13.4]",1.37,0.79
76,52.5,2.811384,"[8.6,18.8]",1.46,0.82
77,54.089563,5.36635,"[8.1,18.9]",4.04,1.21
78,54.485793,1.02141,"[9.0,21.0]",4.41,1.8
79,54.46553,4.735478,"[8.7,19.5]",5.06,1.51
80,52.924955,5.704913,"[8.4,17.8]",5.08,1.8
81,56.0,5.028292,"[8.7,14.0]",2.29,1.12
82,54.131682,6.677164,"[8.1,19.3]",3.69,1.63
83,54.450167,2.392121,"[8.9,15.5]",4.25,1.71
84,54.67683,6.723958,"[8.3,15.8]",5.49,1.8
85,52.5,5.077126,"[8.9,18.3]",5.06,1.53
86,54.949792,-0.5,"[8.9,18.8]",2.9,1.18
87,52.722271,1.909424,"[8.1,18.0]",0.59,0.55
88,54.178568,4.979058,"[8.1,14.4]",0.58,0.54
89,52.5,2.144915,"[8.9,17.1]",3.54,1.11
90,54.300608,3.312781,"[8.2,15.1]",5.03,1.5
91,54.058558,1.646938,"[8.8,15.6]",2.12,1.06
92,55.114337,1.708243,"[8.2,20.0]",1.1,0.72
93,54.913794,1.866216,"[8.3,15.5]",5.42,1.79
94,54.061082,2.988002,"[8.3,15.1]",4.52,1.67
95,53.483695,3.652153,"[8.4,13.3]",5.37,1.8
96,53.823298,0.00025,"[8.1,12.7]",1.73,0.86
97,54.652983,5.708145,"[8.6,20.2]",4.63,1.76
98,53.811665,2.520819,"[8.9,13.6]",1.0,0.57
99,53.528055,2.441675,"[8.5,12.1]",3.21,1.26
100,54.545365,2.186047,"[8.2,13.0]",2.59,1.1
